"","Shannon","Simpson","InvSimpson","Pielou","Coverage"
"IG046",1.64782935314184,0.673095372498968,3.05899615935183,0.479858908906125,1
"IG096",2.72816216875905,0.910003123604194,11.111496754643,0.716680865742752,1
"IG013",2.4790924264119,0.830678753264768,5.90593336206472,0.618638958085059,1
"IG022",2.65156550076386,0.896540914340908,9.66565665673,0.700695725446073,1
"IG023",2.52416516121626,0.847440915202773,6.55483743448738,0.581095356738859,1
"IG024",1.87771508139572,0.711070812138175,3.46105565657919,0.541794047226405,1
"IG107",2.33496142800842,0.87004611555132,7.69503739147489,0.755396104466815,1
"IG108",1.95621430205396,0.790798649599519,4.7800838669811,0.607732142675637,1
"IG114",2.57416651555216,0.859887968367893,7.13714581361367,0.645318829432095,1
"IG116",0.202661182076694,0.0708765016574787,1.07628318709398,0.081556859326681,1
"IG118",0.050749655769779,0.0161539914188201,1.01641922747861,0.0461943274194618,1
"IG025",2.14686935302421,0.6962118959855,3.29176813306774,0.540733376731351,1
"IG054",2.60167588002865,0.819437290374406,5.53824209923272,0.630383127202249,1
"IG056",2.0595035505773,0.757442742613861,4.12273790846855,0.457686813768313,1
"IG057",3.43666367650401,0.935329071098296,15.4628983529825,0.763735341777639,1
"IG058",2.76153051592189,0.8842839505306,8.64184358682622,0.713352395843234,1
"IG059",1.81253083859718,0.761869230014373,4.19937331097682,0.549945556253996,1
"IG042",2.70028585165434,0.891067510012613,9.17999763078754,0.654276211949623,1
"IG074",2.95792531238214,0.912882537025849,11.4787548427198,0.728473544561357,1
"IG075",2.23647142187401,0.806440221234268,5.16636259028955,0.587515028685654,1
"IG081",2.0333717423538,0.789763882896119,4.75655664581117,0.534161289007917,1
"IG082",2.68427949558212,0.877934822351834,8.19234460856924,0.638400886476912,1
"IG083",2.71701610434288,0.874055066258481,7.93997797523427,0.623639589521842,1
"IG011",1.85246996662615,0.749781050390703,3.99649987165817,0.544652297045123,1
"IG103",1.78787887623028,0.71034436882166,3.45237548440515,0.570206402278587,1
"IG104",2.1573391310842,0.780522110695185,4.55626761842592,0.551463815036562,1
"IG105",1.54050384547786,0.656414874826184,2.91048688296419,0.426623889754882,1
"IG014",2.19644084474353,0.8551482808095,6.90361153867192,0.691127640371986,1
"IG017",2.89937743973998,0.8991554693898,9.91625419791339,0.73026807672335,1
"IG026",2.03522391215316,0.819018732794754,5.52543373931583,0.649091904495846,1
"IG106",2.12065586860372,0.741219982331416,3.86428600248682,0.611891941013332,1
"IG027",2.12834228706411,0.720551512411056,3.57847705180983,0.559109795728837,1
"IG019",2.64769920235158,0.86988114516016,7.68528128556676,0.670092606512805,1
"IG020",2.62505993876873,0.85858268683268,7.07126997114447,0.57644508212564,1
"IG029",2.33530068545859,0.86065930895675,7.1766545185972,0.716768413153505,1
"IG030",3.16394822605326,0.928679690780313,14.0212516033786,0.719987446592518,1
"IG033",3.18172832536678,0.89807428536018,9.81106684935936,0.714297317598673,1
"IG036",3.03632234388943,0.910278471593525,11.1455970240453,0.692903671525813,1
"IG038",1.59140437543136,0.60209543205018,2.51316541841286,0.514843907660458,1
"IG039",3.13467602093322,0.928705857768642,14.0263978035513,0.742900887960907,1
"IG040",1.68052372167123,0.63306054895552,2.72524526091031,0.455564824650765,1
"IG041",2.72150897013748,0.876074935485482,8.06939261171699,0.664699545624088,1
"IG047",1.44993688018386,0.54824438354982,2.21358620365992,0.430593851384207,1
"IG077",2.84188399382423,0.906829100793231,10.7329649978021,0.765269649485038,1
"IG012",2.77002464498549,0.895088543793302,9.53184748508102,0.715546580293915,1
"IG078",1.80428033150991,0.709451367687476,3.4417646093903,0.463608335766643,1
"IG080",2.75122979037259,0.837004356010949,6.1351332804156,0.643311802653787,1
"IG085",2.65139021937838,0.891605371881737,9.22554943321505,0.709369872181507,1
"IG084",2.63551989551939,0.88553546227708,8.73633021976346,0.767480988885783,1
"IG070",1.52966801866277,0.586349168500608,2.4174978601523,0.459055863465697,1
"IG101",2.33533785385656,0.83862738848318,6.19683842630116,0.693535101092067,1
"IG060",2.99714964918473,0.902256421870255,10.2308511631588,0.633996990329662,1
"IG061",2.60221725575149,0.782358509682573,4.59471215043378,0.567554135957801,1
"IG062",3.01569417308214,0.912936820043966,11.4859117310554,0.763226565574861,1
"IG063",2.06902706962566,0.746138341922533,3.93915334664224,0.553560715881551,1
"IG064",2.00911134765384,0.7046588930263,3.38591539202516,0.513573500172694,1
"IG065",1.87836629374264,0.781633697433448,4.57946115424666,0.583547299100783,1
"IG067",2.06966792093983,0.811396696492893,5.30213406342756,0.627964309243549,1
"IG068",2.99241035920211,0.933818720551991,15.1100131085496,0.80580376668381,1
"IG069",2.43065429357571,0.86504808842154,7.41004694415617,0.707822757871964,1
"IG045",1.98076642885278,0.8006876143002,5.01724966308003,0.576812408114302,1
"IG102",2.25768313007394,0.844171123970327,6.41729585349494,0.730395380891984,1
"IG021",2.46099482903242,0.878013892119793,8.19765477706711,0.681542723642329,1
"IG113",1.79418560255043,0.726038590807531,3.65014913212634,0.572217800127165,1
"IG119",2.61085970653072,0.898586776026426,9.8606469730277,0.801345103210538,1
"IG120",0.523913779827275,0.191869469798384,1.23742385991842,0.184918576967171,1
"IG055",2.85385517132593,0.8923179805402,9.28660146806888,0.663060411384572,1
"IG072",2.79580732342828,0.898014298805311,9.80529611784518,0.632701554904552,1
"IG073",2.54800219525699,0.89072109859456,9.15089726506181,0.716667440483893,1
"IG015",2.23928406577911,0.8651590467332,7.41614454490968,0.7747391177836,1
"IG016",2.43787052358855,0.84981892706192,6.65862868360451,0.703420742942118,1
"IG018",1.10357559237956,0.457863648160446,1.84455441256954,0.460226768407477,1
"IG051",2.35374277912061,0.818801923503247,5.51882238119631,0.608013578341312,1
"IG052",2.40969825875314,0.827955913979412,5.81246367213306,0.551488046113792,1
"IG037",1.13626713717705,0.384685690306079,1.62518567217693,0.308025011744382,1
"IG028",1.2778276776149,0.434095743261016,1.76708336806386,0.356584602889088,1
"IG031",2.73646347320913,0.897387343237972,9.74538650060619,0.609642494469302,1
"IG110",2.02463764271108,0.77580796975186,4.46046185893933,0.595272022031736,1
"IG034",2.75866902141952,0.887232248912404,8.86778347848064,0.614589553304392,1
"IG035",1.61542023246367,0.56113180644396,2.27858845704276,0.406876941957246,1
"IG099",1.4820976312279,0.61420204722982,2.59203034339506,0.454896782195387,1
"IG044",1.64691294383009,0.69496157015384,3.2782754635353,0.549753046481777,1
"IG076",3.46038463663631,0.947659506069951,19.1056660897481,0.727951821154135,1
"IG079",1.69632061729987,0.633882103993653,2.73136061063418,0.44826522489663,1
"IG111",2.72922874398774,0.88869838888296,8.98459590983316,0.669332601241183,1
"IG087",1.64967068677385,0.661504830941726,2.95425191083848,0.475994343781703,1
