"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_psychroterrae","k__Bacteria","p__Bacteroidota","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","s__Flavobacterium_psychroterrae"
"k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Mucilaginibacter|s__Mucilaginibacter_psychrotolerans","k__Bacteria","p__Bacteroidota","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Mucilaginibacter","s__Mucilaginibacter_psychrotolerans"
"k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter|s__Pedobacter_rhodius","k__Bacteria","p__Bacteroidota","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Pedobacter","s__Pedobacter_rhodius"
"k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Mucilaginibacter|s__Mucilaginibacter_phenanthrenivorans","k__Bacteria","p__Bacteroidota","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Mucilaginibacter","s__Mucilaginibacter_phenanthrenivorans"
"k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_rivuli","k__Bacteria","p__Bacteroidota","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","s__Flavobacterium_rivuli"
"k__Bacteria|p__Pseudomonadota|c__CFGB40736|o__OFGB40736|f__FGB40736|g__GGB96080|s__GGB96080_SGB200439","k__Bacteria","p__Pseudomonadota","c__CFGB40736","o__OFGB40736","f__FGB40736","g__GGB96080","s__GGB96080_SGB200439"
"k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_sp_270","k__Bacteria","p__Bacteroidota","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","s__Flavobacterium_sp_270"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Micropepsales|f__Micropepsaceae|g__GGB65925|s__GGB65925_SGB132546","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Micropepsales","f__Micropepsaceae","g__GGB65925","s__GGB65925_SGB132546"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Pseudarthrobacter|s__Pseudarthrobacter_sulfonivorans","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Micrococcales","f__Micrococcaceae","g__Pseudarthrobacter","s__Pseudarthrobacter_sulfonivorans"
"k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Gemmatales|f__Gemmataceae|g__Gemmata|s__Gemmata_palustris","k__Bacteria","p__Planctomycetota","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__Gemmata","s__Gemmata_palustris"
