"","Df","SumOfSqs","R2","F","Pr(>F)","Significance"
"Geographic.region",5,3.1381887650937,0.250435145479907,1.80417982171447,0.001,"***"
"Residual",27,9.39275516084776,0.749564854520093,NA,NA,NA
"Total",32,12.5309439259415,1,NA,NA,NA
