#mpa_vJan25_CHOCOPhlAnSGB_202503
#/global/home/users/ixchelgonzalezrmz/.conda/envs/metaphlan/bin/metaphlan output/micro_fastq_batch2/micro_IG090_R1.fastq.gz,output/micro_fastq_batch2/micro_IG090_R2.fastq.gz --input_type fastq --db_dir /global/scratch/users/ixchelgonzalezrmz/microbiome/database/mpa_vJan25_CHOCOPhlAnSGB_202503 -x mpa_vJan25_CHOCOPhlAnSGB_202503 --offline --verbose --mapout output/metaphlan_out_with_unclassified_batch2/IG090_map.bowtie2.bz2 --nproc 20
#43419026 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	97.7479228	
k__Bacteria	2	2.2520772	
k__Bacteria|p__Pseudomonadota	2|1224	1.7760907	
k__Bacteria|p__Actinomycetota	2|201174	0.451803	
k__Bacteria|p__Bacteroidota	2|976	0.0112137	
k__Bacteria|p__Bacteria_unclassified	2|	0.0065159	
k__Bacteria|p__Myxococcota	2|2818505	0.0050291	
k__Bacteria|p__Planctomycetota	2|203682	0.0014248	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	1.069229	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.6934589	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.446854	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.0134029	
k__Bacteria|p__Bacteroidota|c__Cytophagia	2|976|768503	0.0107774	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.0065159	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified	2|2818505|	0.0050291	
k__Bacteria|p__Actinomycetota|c__CFGB10042	2|201174|	0.0025831	
k__Bacteria|p__Actinomycetota|c__Thermoleophilia	2|201174|1497346	0.002366	
k__Bacteria|p__Planctomycetota|c__Planctomycetia	2|203682|203683	0.0014248	
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.0004363	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	1.0318437	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.6934589	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales	2|201174|1760|85010	0.3970033	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Geodermatophilales	2|201174|1760|1643682	0.0271104	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales	2|1224|28211|3120395	0.0192103	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.017172	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kineosporiales	2|201174|1760|622452	0.0160401	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.0134029	
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales	2|976|768503|768507	0.0107774	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.0065159	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified|o__Polyangiales	2|2818505||3031712	0.0050291	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	2|201174|1760|85009	0.0033703	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	0.0033298	
k__Bacteria|p__Actinomycetota|c__CFGB10042|o__OFGB10042	2|201174||	0.0025831	
k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales	2|201174|1497346|588673	0.002366	
k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Isosphaerales	2|203682|203683|2691356	0.0014248	
