#mpa_vJan25_CHOCOPhlAnSGB_202503
#/global/home/users/ixchelgonzalezrmz/.conda/envs/metaphlan/bin/metaphlan output/micro_fastq_batch2/micro_IG110_R1.fastq.gz,output/micro_fastq_batch2/micro_IG110_R2.fastq.gz --input_type fastq --db_dir /global/scratch/users/ixchelgonzalezrmz/microbiome/database/mpa_vJan25_CHOCOPhlAnSGB_202503 -x mpa_vJan25_CHOCOPhlAnSGB_202503 --offline --verbose --mapout output/metaphlan_out_with_unclassified_batch2/IG110_map.bowtie2.bz2 --nproc 20
#15591324 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	94.6773924	
k__Bacteria	2	5.3226076	
k__Bacteria|p__Pseudomonadota	2|1224	3.5301481	
k__Bacteria|p__Actinomycetota	2|201174	1.5827275	
k__Bacteria|p__Bacteria_unclassified	2|	0.1260692	
k__Bacteria|p__Bacteroidota	2|976	0.0830502	
k__Bacteria|p__Myxococcota	2|2818505	0.0006127	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	2.6053331	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	1.4492017	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.9248149	
k__Bacteria|p__Actinomycetota|c__CFGB10042	2|201174|	0.1335257	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.1260692	
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.0830502	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified	2|2818505|	0.0006127	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	2.5329379	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales	2|201174|1760|85007	1.2718526	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.7528745	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales	2|1224|1236|135614	0.1719404	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales	2|201174|1760|85010	0.1482193	
k__Bacteria|p__Actinomycetota|c__CFGB10042|o__OFGB10042	2|201174||	0.1335257	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.1260692	
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales	2|976|117747|200666	0.0830502	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.0723952	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales	2|201174|1760|85011	0.0209234	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	2|201174|1760|85009	0.0082064	
