rank,taxon,mean_abundance,is_core,is_diff,status
Family,Aphanothecaceae,4.901030927835048e-4,FALSE,FALSE,None
Family,Archangiaceae,0.1895132256809239,FALSE,FALSE,None
Family,Aurantimonadaceae,0.046600723871248396,FALSE,FALSE,None
Family,Azospirillaceae,0.06043247732611509,FALSE,FALSE,None
Family,Bacillaceae,0.018850722609217083,FALSE,TRUE,Differential only
Family,Baekduiaceae,0.004938145024020759,FALSE,FALSE,None
Family,Beijerinckiaceae,3.884536368659851e-4,FALSE,FALSE,None
Family,Beutenbergiaceae,0.005143918554556898,FALSE,FALSE,None
Family,Boseaceae,0.04237362811434,FALSE,TRUE,Differential only
Family,Burkholderiaceae,0.21464721732790717,FALSE,FALSE,None
Family,Calotrichaceae,2.2402066336083386e-4,FALSE,FALSE,None
Family,Caulobacteraceae,0.6721914557270373,FALSE,FALSE,None
Family,Cellulomonadaceae,0.03940876496004188,FALSE,FALSE,None
Family,Chitinophagaceae,0.002106906644165232,FALSE,FALSE,None
Family,Chroococcidiopsidaceae,0.0508565826811695,FALSE,TRUE,Differential only
Family,Chryseotaleaceae,0.0013718563560312707,FALSE,TRUE,Differential only
Family,Cladosporiaceae,0.009385254916382276,FALSE,FALSE,None
Family,Clostridiaceae,0.007713609148226916,FALSE,FALSE,None
Family,Coleofasciculaceae,0.00749381571946418,FALSE,TRUE,Differential only
Family,Comamonadaceae,2.9927764841534517,FALSE,FALSE,None
Family,Conexibacteraceae,0.12748524801379185,FALSE,FALSE,None
Family,Crocinitomicaceae,0.11830308214363033,FALSE,FALSE,None
Family,Cryptosporangiaceae,0.001788865621608318,FALSE,FALSE,None
Family,Cytophagaceae,0.4061223691737098,TRUE,FALSE,Core only
Family,Devosiaceae,0.009694433640917816,FALSE,TRUE,Differential only
Family,Dinobryaceae,0.0028787625987216777,FALSE,FALSE,None
Family,Dongiaceae,0.011974332646609147,FALSE,FALSE,None
Family,Enterobacteriaceae,0.5030727272161384,FALSE,FALSE,None
Family,Enterococcaceae,0.036946914605877776,FALSE,FALSE,None
Family,Entophysalidaceae,1.0680409167011265e-4,FALSE,FALSE,None
Family,Erwiniaceae,0.11294854950777715,FALSE,FALSE,None
Family,Erythrobacteraceae,0.0023809282085568055,FALSE,FALSE,None
Family,FGB10042,0.2587673200642085,FALSE,TRUE,Differential only
Family,FGB10236,0.0023486597334331748,FALSE,FALSE,None
Family,FGB14596,4.3092787814433386e-5,FALSE,FALSE,None
Family,FGB15779,5.418557784742484e-4,FALSE,FALSE,None
Family,FGB1611,0.0035777323165361143,FALSE,FALSE,None
Family,FGB26132,0.0012351543921443788,FALSE,FALSE,None
Family,FGB26270,0.0011327836184330032,FALSE,FALSE,None
Family,FGB36419,0.001714536082474227,FALSE,FALSE,None
Family,FGB40736,0.04125948453608243,FALSE,FALSE,None
Family,FGB49577,0.0039003099134228185,FALSE,FALSE,None
Family,FGB52473,9.25051413577374e-4,FALSE,FALSE,None
Family,FGB52786,0.02471567078767254,FALSE,FALSE,None
Family,FGB52975,0.0014039173853814565,FALSE,FALSE,None
Family,FGB5329,1.5243680183749484,FALSE,TRUE,Differential only
Family,FGB5337,2.0731962909279196e-4,FALSE,FALSE,None
Family,FGB54646,0.0037524753525467326,FALSE,FALSE,None
Family,FGB659,0.004740826065876848,FALSE,TRUE,Differential only
Family,FGB72910,0.014638861296271663,FALSE,FALSE,None
Family,FGB75085,0.0022105156435773504,FALSE,FALSE,None
