#mpa_vJan25_CHOCOPhlAnSGB_202503
#/global/home/users/ixchelgonzalezrmz/.conda/envs/metaphlan/bin/metaphlan output/micro_fastq/micro_IG060_R1.fastq.gz,output/micro_fastq/micro_IG060_R2.fastq.gz --input_type fastq --db_dir /global/scratch/users/ixchelgonzalezrmz/microbiome/database/mpa_vJan25_CHOCOPhlAnSGB_202503 -x mpa_vJan25_CHOCOPhlAnSGB_202503 --offline --verbose --skip_unclassified_estimation --mapout output/metaphlan_out/IG060_map.bowtie2.bz2 --nproc 20
#63788016 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.84053	
k__Archaea	2157	0.15947	
k__Bacteria|p__Pseudomonadota	2|1224	72.86974	
k__Bacteria|p__Actinomycetota	2|201174	21.10302	
k__Bacteria|p__Firmicutes	2|1239	2.03456	
k__Bacteria|p__Myxococcota	2|2818505	1.74814	
k__Bacteria|p__Bacteroidota	2|976	1.30274	
k__Bacteria|p__Planctomycetota	2|203682	0.3832	
k__Bacteria|p__Chlamydiota	2|204428	0.34704	
k__Archaea|p__Nitrososphaerota	2157|651137	0.15947	
k__Bacteria|p__Gemmatimonadota	2|142182	0.04791	
k__Bacteria|p__Acidobacteriota	2|57723	0.00418	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	44.42182	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	24.59756	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	18.44296	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	3.85036	
k__Bacteria|p__Actinomycetota|c__CFGB5329	2|201174|	2.59731	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified	2|2818505|	1.74814	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.74769	
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	0.99052	
k__Bacteria|p__Planctomycetota|c__Planctomycetia	2|203682|203683	0.3832	
k__Bacteria|p__Chlamydiota|c__CFGB1611	2|204428|	0.34704	
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.31222	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.23142	
k__Archaea|p__Nitrososphaerota|c__CFGB79369	2157|651137|	0.15947	
k__Bacteria|p__Actinomycetota|c__Thermoleophilia	2|201174|1497346	0.06275	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.05545	
k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadia	2|142182|219685	0.04791	
k__Bacteria|p__Acidobacteriota|c__CFGB14596	2|57723|	0.00418	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	42.93203	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	21.46282	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales	2|201174|1760|85010	13.0237	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	3.85036	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	3.13474	
k__Bacteria|p__Actinomycetota|c__CFGB5329|o__OFGB5329	2|201174||	2.59731	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	2.58138	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified|o__Polyangiales	2|2818505||3031712	1.74814	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	1.74769	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales	2|201174|1760|85008	1.72414	
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0.99052	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales	2|1224|28211|3120395	0.70797	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Geodermatophilales	2|201174|1760|1643682	0.64012	
k__Bacteria|p__Chlamydiota|c__CFGB1611|o__OFGB1611	2|204428||	0.34704	
k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Gemmatales	2|203682|203683|2691355	0.32301	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.31772	
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales	2|976|117747|200666	0.31222	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	2|201174|1760|85009	0.29605	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.23142	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.2049	
k__Archaea|p__Nitrososphaerota|c__CFGB79369|o__OFGB79369	2157|651137||	0.15947	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales	2|201174|1760|85011	0.15656	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Micropepsales	2|1224|28211|1921567	0.15214	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales	2|1224|28211|204458	0.10706	
k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales	2|201174|1497346|588673	0.06275	
k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Isosphaerales	2|203682|203683|2691356	0.06019	
k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadia|o__Gemmatimonadales	2|142182|219685|219686	0.04791	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	2|1239|186801|3085636	0.02904	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	0.02641	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales	2|201174|1760|85007	0.02101	
