ID	IG011	IG012	IG013	IG014	IG015	IG016	IG017	IG018	IG019	IG020	IG021	IG022	IG023	IG024	IG025	IG026	IG027	IG028	IG029	IG030	IG031	IG033	IG034	IG035	IG036	IG037	IG038	IG039	IG040	IG041	IG042	IG044	IG045	IG046	IG047	IG048	IG049	IG051	IG052	IG054	IG055	IG056	IG057	IG058	IG059	IG060	IG061	IG062	IG063	IG064	IG065	IG066	IG067	IG068	IG069	IG070	IG072	IG073	IG074	IG075	IG076	IG077	IG078	IG079	IG080	IG081	IG082	IG083	IG084	IG085	IG087	IG089	IG090	IG091	IG092	IG093	IG094	IG095	IG096	IG099	IG101	IG102	IG103	IG104	IG105	IG106	IG107	IG108	IG110	IG111	IG112	IG113	IG114	IG116	IG118	IG119	IG120
k__Bacteria|p__Bacteroidota|c__Cytophagia	0.95027	0.92594	0.16268	0.0	0.0	1.68602	1.14959	2.55413	0.05361	0.08651	0.71262	0.60916	0.27867	0.79791	0.28241	0.87097	0.77041	0.0558	2.0444	0.30161	0.13655	0.17087	1.07955	0.3922	0.1303	1.95924	0.97575	0.16404	0.0	0.04226	0.05499	0.0	0.00437	0.28027	0.0	0.254	0.16323	0.72708	0.11698	0.99078	0.39568	0.01343	4.60231	0.31526	0.80693	0.0	0.06204	0.19831	2.0738	0.05474	0.84242	0.18129	0.0	0.81221	1.27103	0.13011	0.56795	2.63283	5.0482	0.08062	0.72014	0.48565	0.1183	0.02796	0.54244	0.09852	0.44401	0.11566	1.45605	0.56996	0.11666	0.22073	0.47855	1.34606	0.85547	0.96621	0.58052	1.62723	0.27337	0.17565	0.23629	0.0	0.06651	0.02872	0.05177	1.60741	0.59749	0.0	0.0	0.7626	0.05282	3.07494	0.0	0.0	0.0	5.98388	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	0.50731	1.83581	2.45778	0.0	19.7369	19.98459	3.01091	6.32675	2.88263	31.71475	0.0	0.40491	29.81266	3.9617	7.20939	2.48884	52.09089	0.28301	0.0	25.60569	45.01663	4.64505	11.09678	10.74716	1.78136	1.24998	2.65552	18.63942	13.64371	7.26705	14.52327	5.08289	28.81278	7.28793	9.44169	0.32494	11.57837	5.33957	13.36533	0.42662	34.75414	85.25587	20.10413	9.58443	0.24417	24.59756	5.27147	0.99091	12.6875	4.43397	1.55298	7.44075	6.33194	0.20621	2.88542	0.0	0.75053	0.0	5.58819	43.27437	18.15583	5.91	2.60284	0.24442	8.72213	5.37003	4.50578	6.00431	16.78937	17.55107	3.99714	19.86944	30.79197	14.22441	8.68739	4.16884	3.08602	0.01209	4.07535	5.45014	13.556	2.13256	0.0	16.75544	0.8118	11.64431	7.53573	9.91363	17.37522	11.58612	0.57386	46.81342	5.29355	96.3917	99.18655	0.0	0.0
k__Bacteria|p__Planctomycetota|c__Planctomycetia	0.20111	0.21027	0.15546	0.0	0.0	0.0	1.45376	0.0	0.73147	0.53165	0.63598	0.05374	0.03976	0.20468	0.35158	0.2941	0.0	1.62294	0.46051	0.03924	0.00209	0.9714	0.15998	0.03681	0.53166	0.12531	0.0	1.22461	0.0	1.44243	0.02024	0.0	0.01483	0.0	0.17749	0.0	0.32992	0.02558	0.17609	0.30885	0.0	0.0	1.80843	0.16023	0.21923	0.3832	1.03953	0.38421	0.00444	0.88479	0.0063	5.19711	0.0	1.06067	1.62013	1.12855	0.00441	0.14547	0.0	0.0313	0.02351	0.40949	0.03253	0.27718	0.06573	0.0	0.08934	0.02883	0.59728	0.86083	0.10939	0.0	0.06327	0.0	0.0	0.21145	0.0	1.19698	0.0	0.06376	0.0	0.0	0.74191	0.68802	0.0	0.0	0.0	0.0	0.0	0.0	0.206	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	0.13031	0.02286	5.97616	0.0	0.0	0.16819	0.0	72.54662	5.52174	0.1909	0.25744	20.10465	2.432	0.0	3.13923	1.21319	1.45777	0.62567	20.8382	6.04053	0.38451	0.05999	1.31792	0.86361	0.81009	0.0	0.0	0.41096	2.5788	0.0499	1.46631	0.0	0.13663	5.26214	0.0	24.19328	0.10422	1.92542	3.54772	0.0	1.80366	0.08865	0.2355	0.0	0.0	0.0	0.08336	0.95039	47.66301	0.0	34.60576	2.36335	22.67664	8.751	0.37799	0.0	2.47891	1.01274	0.18451	0.0	0.60843	1.64939	0.01143	0.58709	0.77825	1.67889	0.0	3.96322	1.25649	0.0	0.68411	21.34952	0.28933	0.0	1.41654	9.12461	3.49804	0.2664	0.49959	58.8389	0.59706	3.81883	0.3234	12.3458	0.36134	0.0	21.45983	25.31748	2.36856	12.69171	0.0	0.0	4.99985	0.0	0.0	5.28465	0.0
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified	0.09688	0.0	0.22644	31.66437	1.72375	0.0	1.69018	0.0	0.20488	0.08253	0.97986	1.93576	1.05389	0.65228	0.42382	0.0	0.03955	0.0	0.0	0.22544	0.3618	3.58272	0.0	0.523	1.40511	0.24524	1.46033	0.42618	0.0	0.10278	0.73073	0.0	0.0	0.13329	2.11177	0.0	0.14818	0.03472	0.29765	0.0	0.0	0.0	0.01845	0.0	0.45579	1.74814	0.55114	0.0	0.00302	0.04997	0.0	1.78027	0.0	1.46458	0.0	0.21047	0.10074	1.80138	1.62509	0.0	0.03598	0.0	0.0	1.08508	0.88685	0.0	0.0	0.41034	1.95801	1.5903	0.0	0.33731	0.22331	0.47421	0.0	1.53073	0.07998	1.77523	0.00674	0.0	0.0	0.0	0.16027	3.11057	0.0	0.0	0.23727	2.13989	0.01151	0.14998	0.42355	0.0	0.0	0.22607	0.12607	0.0	0.01042
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	35.27044	0.0	2.20776	0.0	0.0	0.02645	0.13598	0.0	3.65972	0.67847	0.31475	9.11935	0.80744	11.46018	0.35948	0.0	1.61118	0.23842	0.2006	14.80058	0.17767	0.8069	1.1915	0.70544	7.30795	0.07436	0.0	0.37083	0.0	0.05954	0.84666	1.95802	1.21414	0.0	2.22961	0.0	0.24721	0.0	0.02305	3.02449	2.04046	0.04107	0.83507	0.0	1.13862	0.29605	0.03023	1.31073	0.0	0.44202	0.0	0.45653	0.0	1.63381	0.0	6.17868	1.03271	3.1402	18.19785	0.1287	0.28102	2.8425	2.06064	1.53334	2.41073	0.3741	2.49145	0.20564	0.1228	1.06419	0.13215	1.41063	0.14966	0.30517	3.33663	4.04156	0.17236	0.0	0.00594	0.16641	0.13761	0.5842	0.0	0.0	0.0	0.0	0.82195	0.0	0.15418	0.19726	0.0	2.50205	0.19331	0.00729	0.0	1.11597	0.01661
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales	33.60528	0.0	0.01567	0.0	0.0	1.34499	0.0	0.0	2.10963	0.31166	0.04748	4.17248	0.012	0.66383	0.0	0.0	0.0	0.07457	0.41944	0.57312	0.48847	1.72935	0.51557	3.05811	4.10542	0.90348	0.0	0.0	0.0	0.0	0.60284	0.0	0.0	0.0	0.0	0.16716	0.24264	0.0	0.2402	18.51093	3.27251	3.27587	10.90758	36.61095	0.0	1.72414	0.06071	0.23296	0.0	0.51224	0.06833	3.22896	3.67051	2.08298	2.86275	0.10739	3.04151	0.36493	6.77048	0.1162	0.23526	0.0	0.0	0.0	1.97843	0.0	1.95321	0.67323	0.0	0.95232	0.0	0.09801	0.0	0.03248	0.0	0.39021	3.55649	5.60421	0.0	0.10574	0.0	4.09214	2.74669	0.13786	0.0	2.72201	0.0	0.0	0.0	0.0	13.0616	0.0	0.03018	0.0	0.0	0.0	0.16671
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	18.09544	77.98568	70.72412	32.27559	42.73813	52.91145	39.40761	11.95702	63.05972	40.52193	63.7289	48.70184	21.72519	68.47146	63.17083	89.74704	29.1305	85.93074	56.21747	28.1381	33.24524	22.02869	52.58224	10.17074	53.70957	9.69712	82.47974	49.15712	17.00076	22.89921	52.31136	53.4178	31.47722	20.0405	8.33186	70.86871	44.24754	73.76098	40.45524	57.96401	38.32699	4.48598	25.0266	30.84543	41.53745	42.93203	72.10327	67.54127	22.9932	17.22647	51.80276	45.27408	50.8764	34.51948	57.53835	75.64265	22.64324	29.58772	27.25116	27.86902	47.07607	66.95202	79.34016	71.25377	18.56318	29.05845	30.60784	44.06915	28.18738	39.08638	86.92926	11.97961	45.81742	51.94531	44.44793	39.63213	73.6065	47.93145	77.63385	29.66566	66.26612	68.81297	63.60633	53.11525	40.13343	74.20254	48.86147	55.04644	47.58829	57.66351	28.39637	38.31829	53.03938	2.6964	0.0	54.44847	6.15656
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	4.36077	2.96313	4.9514	0.0	0.69161	7.1499	4.20279	1.34703	1.23652	4.96742	1.22515	0.14193	2.9478	1.90756	3.94565	0.0	2.12768	5.9549	0.47445	0.45521	2.07304	1.58302	0.24081	0.09969	0.37268	2.16662	1.15047	4.14299	60.69921	45.68659	2.11348	4.58027	1.38451	0.252	1.94405	0.0	7.38637	7.03668	2.18927	4.80999	5.94933	0.85161	5.14961	2.36107	0.0	3.85036	2.8675	3.87457	0.00928	5.08613	0.03989	0.63667	1.50693	4.47358	3.60635	3.96341	57.75204	40.14433	16.51581	16.25725	5.07663	4.16391	0.02997	1.09331	4.10895	0.0	11.13753	3.13802	2.02041	8.70753	1.4162	0.08439	0.59513	2.6233	2.00541	0.53964	0.10471	1.55663	11.02847	0.0	2.24783	2.01134	9.87901	1.84243	55.28808	1.01543	0.09507	0.28153	0.0	0.11319	25.33547	3.75947	0.43058	0.44132	0.0	0.30909	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2.96694	0.65938	2.80006	30.83963	1.81385	3.45439	5.60641	1.36734	2.48838	1.2343	4.8788	0.68308	1.20227	2.3357	9.03633	0.09909	0.44171	0.72579	10.13346	2.83981	1.8313	7.37897	2.45487	0.91054	4.17807	0.01253	1.01435	4.37797	1.06351	5.69256	2.74522	0.0217	0.22799	0.50425	0.36367	0.28107	2.79854	3.35618	0.96718	0.57713	1.5601	0.28483	2.73968	6.68167	1.5499	2.58138	1.39546	13.64749	0.19804	2.64521	0.0	0.41787	1.64283	20.75614	0.28456	0.01627	1.83163	12.61059	7.2783	3.02399	0.02796	2.75448	1.65419	7.10961	8.01757	30.85946	5.29898	0.74588	9.48486	0.70341	0.62799	0.57379	0.14785	8.96039	4.44704	16.76827	0.37496	0.0	1.17648	0.0	9.5724	0.0	2.12283	0.08531	0.51445	0.47481	0.0	0.0	0.0	4.89605	0.21324	0.0	7.50778	0.00732	0.0	4.05109	0.0
