file                                        format  type    num_seqs        sum_len  min_len  avg_len  max_len
output/micro_fastq/micro_IG039_R1.fastq.gz  FASTQ   DNA   22,702,907  3,416,276,602       36    150.5      151
output/micro_fastq/micro_IG039_R2.fastq.gz  FASTQ   DNA   22,702,907  3,416,281,500       36    150.5      151
output/micro_fastq/micro_IG040_R1.fastq.gz  FASTQ   DNA   13,542,729  2,039,546,153       36    150.6      151
output/micro_fastq/micro_IG040_R2.fastq.gz  FASTQ   DNA   13,542,729  2,039,549,088       36    150.6      151
output/micro_fastq/micro_IG041_R1.fastq.gz  FASTQ   DNA   16,746,063  2,517,495,024       36    150.3      151
output/micro_fastq/micro_IG041_R2.fastq.gz  FASTQ   DNA   16,746,063  2,517,498,670       36    150.3      151
output/micro_fastq/micro_IG042_R1.fastq.gz  FASTQ   DNA   17,682,968  2,663,523,442       36    150.6      151
output/micro_fastq/micro_IG042_R2.fastq.gz  FASTQ   DNA   17,682,968  2,663,527,254       36    150.6      151
output/micro_fastq/micro_IG044_R1.fastq.gz  FASTQ   DNA   10,184,851  1,532,387,623       36    150.5      151
output/micro_fastq/micro_IG044_R2.fastq.gz  FASTQ   DNA   10,184,851  1,532,389,904       36    150.5      151
output/micro_fastq/micro_IG045_R1.fastq.gz  FASTQ   DNA   17,837,114  2,685,694,300       36    150.6      151
output/micro_fastq/micro_IG045_R2.fastq.gz  FASTQ   DNA   17,837,114  2,685,698,080       36    150.6      151
output/micro_fastq/micro_IG046_R1.fastq.gz  FASTQ   DNA   20,146,037  3,033,856,383       36    150.6      151
output/micro_fastq/micro_IG046_R2.fastq.gz  FASTQ   DNA   20,146,037  3,033,860,981       36    150.6      151
output/micro_fastq/micro_IG047_R1.fastq.gz  FASTQ   DNA   19,099,451  2,869,225,580       36    150.2      151
output/micro_fastq/micro_IG047_R2.fastq.gz  FASTQ   DNA   19,099,451  2,869,229,631       36    150.2      151
output/micro_fastq/micro_IG048_R1.fastq.gz  FASTQ   DNA   12,978,152  1,956,243,598       36    150.7      151
output/micro_fastq/micro_IG048_R2.fastq.gz  FASTQ   DNA   12,978,152  1,956,246,558       36    150.7      151
output/micro_fastq/micro_IG049_R1.fastq.gz  FASTQ   DNA   27,648,798  4,164,087,214       36    150.6      151
output/micro_fastq/micro_IG049_R2.fastq.gz  FASTQ   DNA   27,648,798  4,164,093,279       36    150.6      151
