#mpa_vJan25_CHOCOPhlAnSGB_202503
#/global/home/users/ixchelgonzalezrmz/.conda/envs/metaphlan/bin/metaphlan output/micro_fastq/micro_IG080_R1.fastq.gz,output/micro_fastq/micro_IG080_R2.fastq.gz --input_type fastq --db_dir /global/scratch/users/ixchelgonzalezrmz/microbiome/database/mpa_vJan25_CHOCOPhlAnSGB_202503 -x mpa_vJan25_CHOCOPhlAnSGB_202503 --offline --verbose --mapout output/metaphlan_out/IG080_map.bowtie2.bz2 --nproc 20
#42184076 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	96.7596706	
k__Bacteria	2	3.2403294	
k__Bacteria|p__Cyanobacteriota	2|1117	1.2222658	
k__Bacteria|p__Pseudomonadota	2|1224	1.0634479	
k__Bacteria|p__Actinomycetota	2|201174	0.6546957	
k__Bacteria|p__Bacteroidota	2|976	0.2001099	
k__Bacteria|p__Myxococcota	2|2818505	0.0343155	
k__Bacteria|p__Firmicutes	2|1239	0.0320342	
k__Bacteria|p__Bacteria_unclassified	2|	0.0252179	
k__Bacteria|p__Verrucomicrobiota	2|74201	0.0061126	
k__Bacteria|p__Planctomycetota	2|203682	0.00213	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae	2|1117|3028117	1.2222658	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.6546957	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	0.6476787	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.2826257	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.1331434	
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	0.1125162	
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.0700168	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.0320342	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified	2|2818505|	0.0287369	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.0252179	
k__Bacteria|p__Bacteroidota|c__Cytophagia	2|976|768503	0.0175769	
k__Bacteria|p__Verrucomicrobiota|c__Opitutia	2|74201|414999	0.0061126	
k__Bacteria|p__Myxococcota|c__Myxococcia	2|2818505|32015	0.0055785	
k__Bacteria|p__Planctomycetota|c__Planctomycetia	2|203682|203683	0.00213	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Oscillatoriales	2|1117|3028117|1150	1.2222658	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.6015082	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.2826257	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	0.2597956	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales	2|201174|1760|85010	0.2116091	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.1331434	
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0.1125162	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	2|201174|1760|85009	0.0781157	
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales	2|976|117747|200666	0.0700168	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales	2|201174|1760|85008	0.0641078	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales	2|1224|28211|204458	0.0321346	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.0320342	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Geodermatophilales	2|201174|1760|1643682	0.0277716	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.0252179	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified|o__Polyangiales	2|2818505||3031712	0.0238956	
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales	2|976|768503|768507	0.0175769	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales	2|201174|1760|85007	0.0124118	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales	2|1224|28211|3120395	0.0117529	
