#mpa_vJan25_CHOCOPhlAnSGB_202503
#/global/home/users/ixchelgonzalezrmz/.conda/envs/metaphlan/bin/metaphlan output/micro_fastq_batch2/micro_IG111_R1.fastq.gz,output/micro_fastq_batch2/micro_IG111_R2.fastq.gz --input_type fastq --db_dir /global/scratch/users/ixchelgonzalezrmz/microbiome/database/mpa_vJan25_CHOCOPhlAnSGB_202503 -x mpa_vJan25_CHOCOPhlAnSGB_202503 --offline --verbose --mapout output/metaphlan_out_with_unclassified_batch2/IG111_map.bowtie2.bz2 --nproc 20
#33016678 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	95.2097119	
k__Bacteria	2	4.7902881	
k__Bacteria|p__Pseudomonadota	2|1224	3.3717546	
k__Bacteria|p__Actinomycetota	2|201174	0.6596251	
k__Bacteria|p__Bacteria_unclassified	2|	0.6079693	
k__Bacteria|p__Cyanobacteriota	2|1117	0.1072236	
k__Bacteria|p__Bacteroidota	2|976	0.0365308	
k__Bacteria|p__Myxococcota	2|2818505	0.0071846	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	2.8113243	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.6489037	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.6079693	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.5550085	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae	2|1117|3028117	0.1072236	
k__Bacteria|p__Bacteroidota|c__Cytophagia	2|976|768503	0.0365308	
k__Bacteria|p__Actinomycetota|c__CFGB10042	2|201174|	0.0105717	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified	2|2818505|	0.0071846	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.0054219	
k__Bacteria|p__Actinomycetota|c__Acidimicrobiia	2|201174|84992	0.0001496	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	2.7622482	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.6079693	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.5550085	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	0.2345351	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kineosporiales	2|201174|1760|622452	0.1950942	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Geodermatophilales	2|201174|1760|1643682	0.1182466	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Oscillatoriales	2|1117|3028117|1150	0.1061076	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales	2|201174|1760|85010	0.06043	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.0395509	
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales	2|976|768503|768507	0.0365308	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales	2|201174|1760|85007	0.0227903	
k__Bacteria|p__Actinomycetota|c__CFGB10042|o__OFGB10042	2|201174||	0.0105717	
