#mpa_vJan25_CHOCOPhlAnSGB_202503
#/global/home/users/ixchelgonzalezrmz/.conda/envs/metaphlan/bin/metaphlan output/micro_fastq/micro_IG019_R1.fastq.gz,output/micro_fastq/micro_IG019_R2.fastq.gz --input_type fastq --db_dir /global/scratch/users/ixchelgonzalezrmz/microbiome/database/mpa_vJan25_CHOCOPhlAnSGB_202503 -x mpa_vJan25_CHOCOPhlAnSGB_202503 --offline --verbose --mapout output/metaphlan_out/IG019_map.bowtie2.bz2 --nproc 20
#52324640 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	97.6441596	
k__Bacteria	2	2.3558404	
k__Bacteria|p__Pseudomonadota	2|1224	1.6523109	
k__Bacteria|p__Actinomycetota	2|201174	0.3033668	
k__Bacteria|p__Cyanobacteriota	2|1117	0.2402874	
k__Bacteria|p__Bacteria_unclassified	2|	0.1300834	
k__Bacteria|p__Planctomycetota	2|203682	0.0197842	
k__Bacteria|p__Bacteroidota	2|976	0.005181	
k__Bacteria|p__Myxococcota	2|2818505	0.0048267	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	1.5552703	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.3007441	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae	2|1117|3028117	0.2402874	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.1300834	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.0679102	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.0291304	
k__Bacteria|p__Planctomycetota|c__Planctomycetia	2|203682|203683	0.0172322	
k__Bacteria|p__Myxococcota|c__Myxococcota_unclassified	2|2818505|	0.0048267	
k__Bacteria|p__Bacteroidota|c__CFGB36419	2|976|	0.0039181	
k__Bacteria|p__Actinomycetota|c__Thermoleophilia	2|201174|1497346	0.0026227	
k__Bacteria|p__Planctomycetota|c__CFGB75085	2|203682|	0.002552	
k__Bacteria|p__Bacteroidota|c__Cytophagia	2|976|768503	0.0012629	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	1.4855864	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Oscillatoriales	2|1117|3028117|1150	0.2402874	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.1300834	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	2|201174|1760|85009	0.0862172	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales	2|201174|1760|85010	0.0844233	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	0.0586222	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales	2|1224|28211|3120395	0.0535513	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales	2|201174|1760|85008	0.0496996	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales	2|1224|1236|135614	0.041127	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.0291304	
