ID	IG011	IG047	IG070	IG078	IG085	IG063	IG083	IG052	IG103	IG017	IG040	IG030	IG042	IG057	IG082	IG096	IG069	IG114	IG107	IG101	IG081	IG077	IG075	IG074	IG059	IG058	IG056	IG054	IG049	IG046	IG038	IG020	IG014
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Pseudanabaenales	0	0	0	0.01404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales	0	0	0	0.0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	0	0	0	0.17381	0	8.15373	0.1862	18.19056	0	14.53042	0	1.09162	4.94849	0	0	5.05765	0.0161	1.62535	0	0	11.03156	1.01799	0.01172	0	0	0	0.02129	0	0	28.37979	0	5.61621	0.25483
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales|f__Nakamurellaceae	0	0	0	0.1136	0	0	0	0	0	0	0	0	0	0	0.14716	0	0	0	0	0.02215	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexi|c__CFGB10236|o__OFGB10236|f__FGB10236	0	0	0	0.08642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01501	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Chroococcales|f__Entophysalidaceae	0	0	0	0.01682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Pseudanabaenales|f__Leptolyngbyaceae	0	0	0	0.01404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Merismopediaceae	0	0	0	0.0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Aeromicrobium	0	0	0	1.09295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__GGB77784	0	0	0	0.99866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Microlunatus	0	0	0	0.74379	0	0	0.12814	0	0	0	0	0	0	0	0	0.0083	0	0	0	0.10213	0	0.44431	0	0	0	0	0	0	0	0	0	0.2745	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales|f__Geodermatophilaceae|g__Modestobacter	0	0	0	0.47658	0	0	0.05851	0	0	0	0	0	0	0.01505	0.1359	0	0	0	0	0	0	0.08014	0	0.39282	0	0.47682	0.06373	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae|g__Williamsia	0	0	0	0.17381	0	8.15373	0.1862	17.75973	0	14.53042	0	0.08589	4.94849	0	0	5.05765	0.0161	1.20752	0	0	11.03156	0.51494	0.01172	0	0	0	0.02129	0	0	28.37979	0	5.61621	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales|f__Nakamurellaceae|g__Nakamurella	0	0	0	0.1136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02215	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexi|c__CFGB10236|o__OFGB10236|f__FGB10236|g__GGB68992	0	0	0	0.08642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01501	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Belnapia	0	0	0	0.0392	0	0	0	0	0	0	0	0	0	0.00594	0	0	0	0	0	0	0	0.08982	0	0	0	0.34185	0.00453	0.42936	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Friedmanniella	0	0	0	0.01726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Chroococcales|f__Entophysalidaceae|g__Chlorogloea	0	0	0	0.01682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Pseudanabaenales|f__Leptolyngbyaceae|g__Phormidesmis	0	0	0	0.01404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Amnibacterium	0	0	0	0.01377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08469	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Marmoricola	0	0	0	0.013	0.08481	0	0.085	0.01264	0	0.18606	0	0	0.04534	0	0	0	0	0	0	0	0	0.02624	0	0	0	0.01752	0	0	0.17424	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Merismopediaceae|g__Synechocystis	0	0	0	0.0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Aeromicrobium|s__Aeromicrobium_endophyticum	0	0	0	1.09295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__GGB77784|s__GGB77784_SGB107959	0	0	0	0.99866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium_flaccumfaciens	0	0	0	0.97137	0	0	0	0.45369	0	0	0	0.03494	0	0	0	0.38811	0	0	0	0	2.34877	2.36015	0	0	0	3.52626	0.03915	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Microlunatus|s__Microlunatus_antarcticus	0	0	0	0.6917	0	0	0.12814	0	0	0	0	0	0	0	0	0.0083	0	0	0	0.10213	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales|f__Geodermatophilaceae|g__Modestobacter|s__Modestobacter_marinus	0	0	0	0.37021	0	0	0.05851	0	0	0	0	0	0	0.01505	0.1359	0	0	0	0	0	0	0.08014	0	0.39282	0	0.47682	0.05305	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_sp_WL2	0	0	0	0.23015	0	4.36027	7.93974	0.42258	3.14857	1.16676	0.99794	1.43261	0.04947	0.25972	0	3.31267	0.05264	0	4.25821	5.40815	0	5.78977	0	2.12571	0	0.91393	0.31926	0	7.31259	0.87189	0	0.03687	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillales_unclassified|g__Rhodospirillales_unclassified|s__Rhodospirillales_bacterium	0	0	0	0.20002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84939	0	0	2.16126	0	0	0	0	0	0.41753	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae|g__Williamsia|s__Williamsia_phyllosphaerae	0	0	0	0.17381	0	8.15373	0.1862	17.75973	0	14.53042	0	0.08589	4.61358	0	0	5.05765	0.0161	1.20752	0	0	11.03156	0.51494	0.01172	0	0	0	0.02129	0	0	28.37979	0	5.61621	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales|f__Nakamurellaceae|g__Nakamurella|s__Nakamurella_deserti	0	0	0	0.1136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02215	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales|f__Kineosporiaceae|g__Kineococcus|s__Kineococcus_radiotolerans	0	0	0	0.11259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_sp_Leaf125	0	0	0	0.11008	0	0.37271	1.52237	1.9208	0	0	0	0	0	0	0	1.68696	3.50418	0	0	3.29832	0	0	0	0	0.11859	3.51781	0	0	0	0	0	0.17061	9.59259
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales|f__Geodermatophilaceae|g__Modestobacter|s__Modestobacter_excelsi	0	0	0	0.10636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01069	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_sp_Leaf104	0	0	0	0.09773	0	0.07157	0.7547	4.55735	0	0	4.64716	0	0.20366	0	0	0.32346	0	0	0.54832	0	0	0	0	0	0.03798	0	0	0	0.05581	0	0	0	0
k__Bacteria|p__Chloroflexi|c__CFGB10236|o__OFGB10236|f__FGB10236|g__GGB68992|s__GGB68992_SGB93025	0	0	0	0.08642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01501	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Microlunatus|s__Microlunatus_capsulatus	0	0	0	0.05208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44431	0	0	0	0	0	0	0	0	0	0.2745	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Belnapia|s__Belnapia_mucosa	0	0	0	0.0392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08982	0	0	0	0.34185	0.0011	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_hundungensis	0	0	0	0.0351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11891	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Friedmanniella|s__Friedmanniella_luteola	0	0	0	0.01726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Chroococcales|f__Entophysalidaceae|g__Chlorogloea|s__Chlorogloea_sp_CCALA_695	0	0	0	0.01682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Pseudanabaenales|f__Leptolyngbyaceae|g__Phormidesmis|s__Phormidesmis_priestleyi	0	0	0	0.01404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Amnibacterium|s__Amnibacterium_setariae	0	0	0	0.01377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Marmoricola|s__Marmoricola_sp_URHB0036	0	0	0	0.013	0.08481	0	0.085	0.01264	0	0.18606	0	0	0.04534	0	0	0	0	0	0	0	0	0.02624	0	0	0	0.01752	0	0	0.17424	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Merismopediaceae|g__Synechocystis|s__Synechocystis_sp_PCC_7509	0	0	0	0.0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Aeromicrobium|s__Aeromicrobium_endophyticum|t__SGB34131	0	0	0	1.09295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__GGB77784|s__GGB77784_SGB107959|t__SGB107959	0	0	0	0.99866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium_flaccumfaciens|t__SGB16807	0	0	0	0.97137	0	0	0	0	0	0	0	0.03494	0	0	0	0.38811	0	0	0	0	0	2.36015	0	0	0	3.52626	0.03915	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Microlunatus|s__Microlunatus_antarcticus|t__SGB87044	0	0	0	0.6917	0	0	0.12814	0	0	0	0	0	0	0	0	0.0083	0	0	0	0.10213	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales|f__Geodermatophilaceae|g__Modestobacter|s__Modestobacter_marinus|t__SGB16548	0	0	0	0.37021	0	0	0.05851	0	0	0	0	0	0	0.01505	0.1359	0	0	0	0	0	0	0.08014	0	0.39282	0	0.47682	0.05305	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_sp_WL2|t__SGB89775	0	0	0	0.23015	0	4.36027	7.93974	0.42258	3.14857	1.16676	0.99794	1.43261	0.04947	0.25972	0	3.31267	0.05264	0	4.25821	5.40815	0	5.78977	0	2.12571	0	0.91393	0.31926	0	7.31259	0.87189	0	0.03687	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillales_unclassified|g__Rhodospirillales_unclassified|s__Rhodospirillales_bacterium|t__SGB73488	0	0	0	0.20002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84939	0	0	2.16126	0	0	0	0	0	0.41753	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae|g__Williamsia|s__Williamsia_phyllosphaerae|t__SGB86971	0	0	0	0.17381	0	8.15373	0.1862	17.75973	0	14.53042	0	0.08589	4.61358	0	0	5.05765	0.0161	1.20752	0	0	11.03156	0.51494	0.01172	0	0	0	0.02129	0	0	28.37979	0	5.61621	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales|f__Nakamurellaceae|g__Nakamurella|s__Nakamurella_deserti|t__SGB34030	0	0	0	0.1136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02215	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales|f__Kineosporiaceae|g__Kineococcus|s__Kineococcus_radiotolerans|t__SGB16550	0	0	0	0.11259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_sp_Leaf125|t__SGB11402	0	0	0	0.11008	0	0.37271	1.52237	1.9208	0	0	0	0	0	0	0	1.68696	3.50418	0	0	3.29832	0	0	0	0	0.11859	3.51781	0	0	0	0	0	0.17061	9.59259
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales|f__Geodermatophilaceae|g__Modestobacter|s__Modestobacter_excelsi|t__SGB55768	0	0	0	0.10636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01069	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_sp_Leaf104|t__SGB11403	0	0	0	0.09773	0	0.07157	0.7547	4.55735	0	0	4.64716	0	0.20366	0	0	0.32346	0	0	0.54832	0	0	0	0	0	0.03798	0	0	0	0.05581	0	0	0	0
k__Bacteria|p__Chloroflexi|c__CFGB10236|o__OFGB10236|f__FGB10236|g__GGB68992|s__GGB68992_SGB93025|t__SGB93025	0	0	0	0.08642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01501	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Microlunatus|s__Microlunatus_capsulatus|t__SGB93507	0	0	0	0.05208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44431	0	0	0	0	0	0	0	0	0	0.2745	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Belnapia|s__Belnapia_mucosa|t__SGB93955	0	0	0	0.0392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08982	0	0	0	0.34185	0.0011	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_hundungensis|t__SGB34726	0	0	0	0.0351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11891	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Friedmanniella|s__Friedmanniella_luteola|t__SGB15920	0	0	0	0.01726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Chroococcales|f__Entophysalidaceae|g__Chlorogloea|s__Chlorogloea_sp_CCALA_695|t__SGB24765	0	0	0	0.01682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Pseudanabaenales|f__Leptolyngbyaceae|g__Phormidesmis|s__Phormidesmis_priestleyi|t__SGB24723	0	0	0	0.01404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Amnibacterium|s__Amnibacterium_setariae|t__SGB34980	0	0	0	0.01377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Marmoricola|s__Marmoricola_sp_URHB0036|t__SGB34146	0	0	0	0.013	0.08481	0	0.085	0.01264	0	0.18606	0	0	0.04534	0	0	0	0	0	0	0	0	0.02624	0	0	0	0.01752	0	0	0.17424	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Merismopediaceae|g__Synechocystis|s__Synechocystis_sp_PCC_7509|t__SGB28872	0	0	0	0.0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Gemmatimonadetes	0	0	0	0	0.13755	0	0.2152	0	0	0	0	0.0196	0	0	0	0	0.06321	0	0	0	0	0	0	0	0.02505	0	0.00886	0	0.17161	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0	0	0	0	8.89047	0	0.37867	0.29507	0	2.75465	0	0.04403	0	0.67149	0	0	11.29133	4.05907	0	0	0.41766	0	0	0	0	0	0.10187	0.05037	0	0	0.28746	0.71783	0.09759
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	0	0	0	0	0.13755	0	0.2152	0	0	0	0	0.0196	0	0	0	0	0.06321	0	0	0	0	0	0	0	0.02505	0	0.00886	0	0.17161	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	0	0	0	0	23.18195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0	0	0	0	8.89047	0	0.37867	0.29507	0	2.75465	0	0.04403	0	0.67149	0	0	11.29133	4.05907	0	0	0.41766	0	0	0	0	0	0.10187	0.05037	0	0	0.28746	0.71783	0.09759
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales	0	0	0	0	0.13755	0	0.2152	0	0	0	0	0.0196	0	0	0	0	0.06321	0	0	0	0	0	0	0	0.02505	0	0.00886	0	0.17161	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	0	0	0	0	23.18195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae	0	0	0	0	8.89047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Azospirillaceae	0	0	0	0	1.02526	0	0.17223	0	0	0	0	0	0.13969	0.10197	1.02836	0	0	0	0	0	0	0	0	0.12471	0	0	0.74457	0.20038	0	0	0	0.36277	0.15552
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	0	0	0	0	0.60635	0	0	0	0	0	0.00692	6.69304	0.55288	0	0	1.73728	0	0	0	0	0	0	0	0	0	0	1.03823	0	0.20322	0	0	2.16835	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Spirosomaceae	0	0	0	0	0.34318	0	0	0	0	0	0	0	0	0.00787	0	0	0	0	0	0	0	0	0	5.35556	0	0	0.00387	0.02448	0	0	0.85571	0.01343	0
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae	0	0	0	0	0.13755	0	0.2152	0	0	0	0	0.0196	0	0	0	0	0.06321	0	0	0	0	0	0	0	0.02505	0	0.00886	0	0.17161	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter	0	0	0	0	23.18195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium	0	0	0	0	8.89047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Azospirillaceae|g__Skermanella	0	0	0	0	1.02526	0	0.17223	0	0	0	0	0	0.13969	0.10197	1.02836	0	0	0	0	0	0	0	0	0.12471	0	0	0.11128	0.20038	0	0	0	0.36277	0.15552
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Pseudoxanthomonas	0	0	0	0	0.60635	0	0	0	0	0	0.00692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Mucilaginibacter	0	0	0	0	0.39184	0.1227	0	0	0	0	0.02122	0	0.01545	0	0	0	0	0	0	0	0.00916	0	0.65636	0	0	0	0	0	1.44658	0	0	0.01262	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Aquincola	0	0	0	0	0.36625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Spirosomaceae|g__Larkinella	0	0	0	0	0.34318	0	0	0	0	0	0	0	0	0.00787	0	0	0	0	0	0	0	0	0	3.05186	0	0	0.00387	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Roseomonas	0	0	0	0	0.15048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00791	0	0	0.02522	0.20952	0	0	0	0	0
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatirosa	0	0	0	0	0.13755	0	0.2152	0	0	0	0	0.0196	0	0	0	0	0.06321	0	0	0	0	0	0	0	0.02505	0	0.00886	0	0.17161	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales|f__Geodermatophilaceae|g__Blastococcus	0	0	0	0	0.07251	0	0.07658	0.03249	0	0	0	0	0.11685	0	0.30373	0	0.0743	0	0	0	0	0.7597	0	0.0209	0	0	0.00842	0.05861	0	0	0	0.01022	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_ursingii	0	0	0	0	22.90092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_pusense	0	0	0	0	16.60615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12578	8.03006	0	0	0	0	0
