ID	IG011	IG047	IG070	IG078	IG085	IG063	IG083	IG052	IG103	IG017	IG040	IG030	IG042	IG057	IG082	IG096	IG069	IG114	IG107	IG101	IG081	IG077	IG075	IG074	IG059	IG058	IG056	IG054	IG049	IG046	IG038	IG020	IG014
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	0.11212	0	0.24879	0	1.78954	0	0.69317	1.82154	0	3.01718	0	0.26845	1.14548	0.02124	0	0.00916	0.03354	3.35066	0.3859	0	0	0	0	1.69043	0.82221	0	0	0	0.24335	0.20192	1.1736	0.10763	14.32053
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae	30.63123	0	6.34169	1.24523	1.05827	0	0.09106	0.19539	0	0.18606	0	16.3036	1.8459	0.2635	6.07377	0	0	0	0.79732	0	0.03529	3.67702	0.13433	17.5114	0	0.01752	0.04077	0.11368	0.37258	0.00881	0	2.26328	0.43482
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales|f__Micromonosporaceae	27.8082	0	0.1448	0	1.06913	0.02366	1.57566	0.35736	11.23679	0	0	4.28703	0.99776	3.32228	3.18018	0.05217	2.95323	0.02007	0	0	0	0	0.12253	7.6833	0.26293	39.88893	3.41765	12.60427	0.50073	0	0	0.52916	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	10.95637	0.38234	77.93775	67.49865	2.10526	38.27803	62.63933	28.66066	12.58044	40.55026	5.85528	15.63004	62.0168	5.98952	38.83322	59.03166	24.21629	65.59118	40.09506	71.35956	3.86677	57.56368	22.95905	25.11254	18.7211	21.24998	2.52616	0.09922	45.14932	28.47818	8.63436	26.49782	36.41013
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified	7.88806	0.31537	2.03252	0	0	0.95007	0	7.02228	2.62288	1.6632	0.47105	2.63174	0.48843	44.92265	0.03937	0	0	1.15046	0	0.48916	0.05108	0.98672	0	5.3367	0	0.06537	1.41987	1.66062	3.61961	0	0	10.11687	0.1181
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae	5.36127	0	3.63853	0.1122	2.09622	11.38669	0.55692	0.16758	15.62291	4.5481	0.49909	0.99581	0.29646	0.03491	3.308	0.96182	36.38205	0	11.54316	0.10739	0	2.13025	0.85222	9.15765	0	0	0	0	0.21718	1.77849	12.28551	0.39153	37.8341
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylocystaceae	5.33438	0	0	0	0	0	0	0	0	0	0	0.00623	0	1.47188	0	0	0	0	0	0	0	0	0	0	0	1.29445	0	0	0	0.21713	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	2.54303	0	0.6997	0	0.67002	0.14049	0.06102	0.13044	1.06123	2.99335	0.01403	0.06644	0.41514	0.10171	0.16376	0	0	0	0.02928	0.18366	0.08497	0	0.925	1.06018	0	0	0.08687	0	0.04653	17.23023	0.26729	0.68904	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	1.23784	3.42837	4.66286	0.02128	3.07256	4.29136	0.03565	2.96076	10.38396	5.61309	67.93883	0.08111	0.14059	1.72772	0.09852	1.10557	8.86906	0	4.18026	1.0448	0	0.55189	11.52738	6.44875	4.92434	1.17742	0.63455	4.72668	11.05543	0.47481	6.25394	0.27415	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae	0.8941	0	0.1454	0.11239	0.32472	1.81163	0.2107	0.18086	0.15269	1.84949	0	0.34833	0.09769	0.77478	0.53324	0.3841	1.32353	0	0.70865	0.2939	0.11636	0.65927	0.07887	0.72019	1.51004	0.42783	0.01149	0.20433	0.29282	0.44971	0.15271	0.0774	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0.53015	0	0.33128	0	1.11875	0.07457	3.5391	0.15671	0.06139	0.42154	0.04314	0.10065	2.40082	1.32801	15.83123	0.77377	2.38953	0.01018	0	0	0	0.05909	0.08976	0.02765	0.04622	1.56069	0.04538	0	0.08729	0	0	3.50611	0.60309
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	0.50337	0	0	0	0	1.47848	5.6196	4.44055	0.6523	1.08215	0.14862	6.75035	3.06768	2.20148	0	0	0.1187	5.2119	36.39652	0.61818	1.00851	0.4003	0.24765	1.36016	0	0	0.2246	0	1.32111	7.04224	0	0.25878	0.09409
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales|f__Kineosporiaceae	0.33538	0	0	1.56185	0	0.25353	0.04728	0	0	0.11913	0.00767	0.1578	0.00827	0	0	0.87173	0.90678	0	0	1.67181	0	1.1755	0	0.2999	0.11116	0	0.01052	0	0	0	0	0.22981	1.02445
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillales_unclassified	0.27366	0	0	0.20002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84939	0.03716	0.06443	2.16126	0	0	0	0	0.75164	0.41753	0	0
