taxon,samples_present,prevalence_pct,mean_abundance,mean_abundance_present,rank,common_75
Nannocystaceae,5,5.154639175257732,0.2043372996986624,3.9641436141540427,Family,FALSE
Flectobacillaceae,5,5.154639175257732,0.0496810347973406,0.963812075068408,Family,FALSE
Rubrobacteraceae,5,5.154639175257732,0.029705880860115094,0.5762940886862329,Family,FALSE
Kribbellaceae,5,5.154639175257732,0.014018351509557174,0.27195601928540886,Family,FALSE
Devosiaceae,5,5.154639175257732,0.009694432647165192,0.18807199335500466,Family,FALSE
Chitinophagaceae,5,5.154639175257732,0.002106906915721781,0.04087399416500256,Family,FALSE
Lichenihabitantaceae,4,4.123711340206185,0.05889010471271169,1.4280850392832587,Family,FALSE
Fulvivirgaceae,4,4.123711340206185,0.04979867370252989,1.207617837286349,Family,FALSE
Boseaceae,4,4.123711340206185,0.04237362071456048,1.0275603023280913,Family,FALSE
Treboniaceae,4,4.123711340206185,0.039428657507536775,0.9561449445577663,Family,FALSE
Gomontiellaceae,4,4.123711340206185,0.013582475121092993,0.32937502168650523,Family,FALSE
Nitrososphaerales_unclassified,4,4.123711340206185,0.011143403386536592,0.2702275321235123,Family,FALSE
Alcaligenaceae,4,4.123711340206185,0.008348970723835378,0.202462540053008,Family,FALSE
FGB80449,4,4.123711340206185,0.004947216523041237,0.11997000068375006,Family,FALSE
FGB10236,4,4.123711340206185,0.0023486597159072765,0.056954998110751456,Family,FALSE
Nakamurellaceae,4,4.123711340206185,0.0019862884313609263,0.048167494460502426,Family,FALSE
Sanguibacteraceae,3,3.0927835051546393,0.2756918286787246,8.914035793945423,Family,FALSE
Moraxellaceae,3,3.0927835051546393,0.21571596199689858,6.974816104566391,Family,FALSE
FGB72910,3,3.0927835051546393,0.014638863177670679,0.4733232427446852,Family,FALSE
Leadbetterellaceae,3,3.0927835051546393,0.01278948546967025,0.4135266968526714,Family,FALSE
Clostridiaceae,3,3.0927835051546393,0.007713608015762946,0.24940665917633506,Family,FALSE
FGB79369,3,3.0927835051546393,0.006224330945866175,0.20125336724967288,Family,FALSE
Paenibacillaceae,3,3.0927835051546393,0.0030367014050825393,0.09818667876433546,Family,FALSE
Longimicrobiaceae,3,3.0927835051546393,0.0027646399022579603,0.08939002350634072,Family,FALSE
FGB75085,3,3.0927835051546393,0.0022105156435773504,0.07147333914233438,Family,FALSE
Verrucomicrobiaceae,3,3.0927835051546393,5.629896754948509e-4,0.018203332841000168,Family,FALSE
Gammaproteobacteria_unclassified,2,2.0618556701030926,0.35686690823993833,17.30804504963701,Family,FALSE
Acidocellaceae,2,2.0618556701030926,0.023019385864825638,1.1164402144440424,Family,FALSE
Intrasporangiaceae,2,2.0618556701030926,0.021071546494752583,1.0219700049955007,Family,FALSE
Sporomusaceae,2,2.0618556701030926,0.018534744069783657,0.8989350873845083,Family,FALSE
Dongiaceae,2,2.0618556701030926,0.011974328699474351,0.5807549419245059,Family,FALSE
Tolypothrichaceae,2,2.0618556701030926,0.011454227236711379,0.555530020980502,Family,FALSE
Coleofasciculaceae,2,2.0618556701030926,0.007493814539134039,0.3634500051480005,Family,FALSE
