#mpa_vJan25_CHOCOPhlAnSGB_202503
#/global/home/users/ixchelgonzalezrmz/.conda/envs/metaphlan/bin/metaphlan output/micro_fastq/micro_IG078_R1.fastq.gz,output/micro_fastq/micro_IG078_R2.fastq.gz --input_type fastq --db_dir /global/scratch/users/ixchelgonzalezrmz/microbiome/database/mpa_vJan25_CHOCOPhlAnSGB_202503 -x mpa_vJan25_CHOCOPhlAnSGB_202503 --offline --verbose --skip_unclassified_estimation --mapout output/metaphlan_out/IG078_map.bowtie2.bz2 --nproc 20
#47454816 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.08963	
k__Eukaryota	2759	0.91037	
k__Bacteria|p__Pseudomonadota	2|1224	83.96811	
k__Bacteria|p__Actinomycetota	2|201174	9.23815	
k__Bacteria|p__Cyanobacteriota	2|1117	5.63647	
k__Eukaryota|p__Ascomycota	2759|4890	0.91037	
k__Bacteria|p__Bacteroidota	2|976	0.1183	
k__Bacteria|p__Thermomicrobiota	2|3027942	0.08465	
k__Bacteria|p__Planctomycetota	2|203682	0.03253	
k__Bacteria|p__Bacteria_unclassified	2|	0.01143	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	81.33531	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	9.22937	
k__Bacteria|p__Cyanobacteriota|c__CFGB77182	2|1117|	5.61559	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	2.60284	
k__Eukaryota|p__Ascomycota|c__Dothideomycetes	2759|4890|147541	0.91037	
k__Bacteria|p__Bacteroidota|c__Cytophagia	2|976|768503	0.1183	
k__Bacteria|p__Thermomicrobiota|c__CFGB10236	2|3027942|	0.08465	
k__Bacteria|p__Planctomycetota|c__Planctomycetia	2|203682|203683	0.03253	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.02997	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae	2|1117|3028117	0.02087	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.01143	
k__Bacteria|p__Actinomycetota|c__Thermoleophilia	2|201174|1497346	0.00878	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	79.34016	
k__Bacteria|p__Cyanobacteriota|c__CFGB77182|o__OFGB77182	2|1117||	5.61559	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	2.60284	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Geodermatophilales	2|201174|1760|1643682	2.20931	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	2|201174|1760|85009	2.06064	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales	2|1224|28211|3120395	1.89526	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kineosporiales	2|201174|1760|622452	1.73486	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	1.65419	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales	2|201174|1760|85010	1.26551	
k__Eukaryota|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales	2759|4890|147541|2726946	0.91037	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales	2|201174|1760|85007	0.16091	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Nakamurellales	2|201174|1760|1643684	0.14082	
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales	2|976|768503|768507	0.1183	
k__Bacteria|p__Thermomicrobiota|c__CFGB10236|o__OFGB10236	2|3027942||	0.08465	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.0755	
k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Isosphaerales	2|203682|203683|2691356	0.03253	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.02997	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.02438	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.01143	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Leptolyngbyales	2|1117|3028117|3079749	0.01052	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Chroococcales	2|1117|3028117|1118	0.01036	
k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales	2|201174|1497346|588673	0.00878	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales	2|201174|1760|85011	0.00314	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	2|1224|28211|356|119045	79.34016	
k__Bacteria|p__Cyanobacteriota|c__CFGB77182|o__OFGB77182|f__FGB77182	2|1117|||	5.61559	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	2|1224|1236|72274|135621	2.60284	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Geodermatophilales|f__Geodermatophilaceae	2|201174|1760|1643682|85030	2.20931	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Roseomonadaceae	2|1224|28211|3120395|3385906	1.84134	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kineosporiales|f__Kineosporiaceae	2|201174|1760|622452|83778	1.73486	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae	2|201174|1760|85006|85023	1.65419	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Nocardioidaceae	2|201174|1760|85009|85015	1.3363	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales|f__Pseudonocardiaceae	2|201174|1760|85010|2070	1.26551	
k__Eukaryota|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales|f__Cladosporiaceae	2759|4890|147541|2726946|452563	0.91037	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae	2|201174|1760|85009|31957	0.72434	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Nocardiaceae	2|201174|1760|85007|85025	0.16091	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Nakamurellales|f__Nakamurellaceae	2|201174|1760|1643684|85031	0.14082	
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales|f__Cytophagaceae	2|976|768503|768507|89373	0.1183	
k__Bacteria|p__Thermomicrobiota|c__CFGB10236|o__OFGB10236|f__FGB10236	2|3027942|||	0.08465	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillales_unclassified	2|1224|28211|204441|	0.0755	
