#mpa_vJan25_CHOCOPhlAnSGB_202503
#/global/home/users/ixchelgonzalezrmz/.conda/envs/metaphlan/bin/metaphlan output/micro_fastq/micro_IG056_R1.fastq.gz,output/micro_fastq/micro_IG056_R2.fastq.gz --input_type fastq --db_dir /global/scratch/users/ixchelgonzalezrmz/microbiome/database/mpa_vJan25_CHOCOPhlAnSGB_202503 -x mpa_vJan25_CHOCOPhlAnSGB_202503 --offline --verbose --skip_unclassified_estimation --mapout output/metaphlan_out/IG056_map.bowtie2.bz2 --nproc 20
#56612722 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.71106	
k__Archaea	2157	0.28894	
k__Bacteria|p__Pseudomonadota	2|1224	91.86989	
k__Bacteria|p__Actinomycetota	2|201174	6.97849	
k__Bacteria|p__Firmicutes	2|1239	0.67153	
k__Archaea|p__Nitrososphaerota	2157|651137	0.28894	
k__Bacteria|p__Bacteroidota	2|976	0.09036	
k__Bacteria|p__Bacteria_unclassified	2|	0.08865	
k__Bacteria|p__Cyanobacteriota	2|1117	0.00951	
k__Bacteria|p__Gemmatimonadota	2|142182	0.00263	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	85.25587	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	5.72475	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	5.25276	
k__Bacteria|p__Actinomycetota|c__CFGB5329	2|201174|	1.56855	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.88926	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.59625	
k__Archaea|p__Nitrososphaerota|c__CFGB659	2157|651137|	0.25385	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.08865	
k__Bacteria|p__Actinomycetota|c__Rubrobacteria	2|201174|84995	0.08732	
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	0.07693	
k__Bacteria|p__Actinomycetota|c__CFGB52786	2|201174|	0.06383	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.05018	
k__Archaea|p__Nitrososphaerota|c__CFGB52473	2157|651137|	0.03509	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.02509	
k__Bacteria|p__Bacteroidota|c__Cytophagia	2|976|768503	0.01343	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae	2|1117|3028117	0.00951	
k__Bacteria|p__Actinomycetota|c__Thermoleophilia	2|201174|1497346	0.00604	
k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadia	2|142182|219685	0.00223	
k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia	2|142182|1804991	0.0004	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	44.33586	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	39.94466	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	4.48598	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales	2|201174|1760|85008	3.27587	
k__Bacteria|p__Actinomycetota|c__CFGB5329|o__OFGB5329	2|201174||	1.56855	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales	2|1224|1236|135614	0.97377	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales	2|201174|1760|85010	0.97076	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.95946	
